서명,저자,출판사,출판년
중요무형문화재 음악과 무용. 1,문화재연구회 글·사진,대원사,1999
중요무형문화재 연극과 놀이. 2,문화재연구회 글·사진,대원사,1999
중요무형문화재 의식 음식 무예. 3,문화재연구회 글·사진,대원사,1999
학교를 찾는 아이 아이를 찾는 사회,조한혜정,또 하나의 문화,2000
어느 현상학자의 일기,엔조 파치 지음 ; 이찬웅 옮김,이후,2000
(제4전정판) 임상심리학,이현수,박영사,2000
그림자 동물,오를레브 우리 글 ; 시지트 밀카 그림 ; 한미희 옮김,비룡소,2001
신화의 끝,이 영 지음,좋은벗,2000
벤처기업 @ 인터넷 창업실무,미래와경영연구소 지음,미래와 경영,2000
한국대표작 선집 ; 소설. 3,구인환 엮음,명문당,1994
논리학,마르틴 하이데거 저 ; 이기상 옮김,까치글방,2000
클림트,나다니엘 해리스 ; 원형준 역,한국프뢰벨주식회사,1998
히에로니무스 보슈,트리윈 코플레스톤 저 ; 황재숙 역,한국프뢰벨주식회사,1998
세잔,에드먼드 스윙글허스트저 ; 김상채 역,한국프뢰벨주식회사,1998
마네,나다니엘 해리스저 ; 정연심 역,한국프뢰벨주식회사,1998
LANDSCAPES,에드먼드 스윙글허스트 저 ; 지미정 역,한국프뢰벨주식회사,1998
달리,나다니엘 해리스 저 ; 박영란 역,한국프뢰벨주식회사,1998
윌리엄 모리스,엘레노어 반 잔드저 ; 이정숙 역,한국프뢰벨주식회사,1998
램브란트,더글라스 매너링저 ; 심은신 역,한국프뢰벨주식회사,1998
터너,클라렌스 존스저 ; 박영란 역,한국프뢰벨주식회사,1998
발터 벤야민,노베르트 볼츠 ; 빌렘 반 라이엔 지음 ; 김득룡 옮김,서광사,2000
아리스토텔레스의 윤리학,J.O.엄슨 지음 ; 장영란 옮김,서광사,1996
(알기쉬운)新 주역해설,이상기 지음,오성출판사,1997
불교개론,마쓰야 후미오 지음 ; 이원섭 옮김,현암사,1994
이슬람 철학사,H. 코르방 지음 ; 김정위 옮김,서광사,1997
드가,"더글라스,매너링 저 ; 김용희 역",한국프뢰벨주식회사,1998
고갱,더글라스 매너링저 ; 이주연 역,한국프뢰벨주식회사,1998
"(전국 시장,군수,구청장이 추천하는)우리고장 문화유산. 1","전국 시장,군수,구청장협의회 편",개마서원,1998
실용 한중사전,권호연 ; 정영옥 편,진명,1997
소설 훈민정음,이찬우 저,가람기획,1997
내가 아닌 나를 바라보는 삶의 지혜,프레데릭 프랑크 지음 ; 김도원 옮김,넥서스,1997
논쟁에서 이기는 38가지 방법,소펜하우어 지음 ; 김재혁 옮김,고려대학교출판부,1997
비트켄슈타인 : 철학이 끝난 곳에서 시작한 철학. 3,폴 스트래던 지음 ; 구영모 옮김,펀앤런 북스,1997
데카르트 : 믿고 싶은 모든 것을 의심하라. 4,폴 스트래던 지음 ; 박지수 옮김,펀앤런 북스,1997
니체 : 신은 죽었다. 6,폴 스트래던 지음 ; 김주희 옮김,펀앤런 북스,1997
아리스토텔레스 : 정복자 알렉산더의 정복자. 8,폴 스트래던 지음 ; 김영우 옮김,펀앤런 북스,1997
게으름에 대한 찬양,버트란드 러셀 지음 ; 송은경 옮김,사회 평론,1998
서양복식 문화사,정흥숙 지음,敎文社,1998
흐름으로 보는 서양사상,배요한 저,동인서원,1998
존재론의 새로운 길,N. 하르트만 지음 ; 손동현 옮김,서광사,1997
학교학습과 동기,정종진 지음,교육과학사,1997
생각하는 영혼은 아름답다, ,대산,1997
공주도 학교에 가야 한다,수지 모르겐스턴 글 ; 세르주 블로흐 그림 ; 김진경 옮김,비룡소,1997
"(전국 시장,군수,구청장이 추천하는)우리고장 문화유산. 2","전국 시장,군수,구청장협의회 편",개마서원,1998
모네,에드먼드 스윙글허스드 ; 김상채 역음,한국프뢰벨,1995
클레,린다 도에세르저 ; 최기득 역,한국프뢰벨주식회사,1998
시슬레,제니스 앤더슨저 ; 심은신 역,한국프뢰벨주식회사,1998
PORTRAITS,헬렌 도어저 ; 지미정 역,한국프뢰벨주식회사,1998
(윤사순 교수의) 한국유학 사상론,윤사순 지음,예문서원,1997
중세 철학사,에티엔느 질송 지음 ; 김기찬 옮김,현대지성사,1997
하이데거의 언어사상,한국하이데거학회 편,철학과현실사,1998
흄의 인과론,탁선산 지음,서광사,1998
"지식인이여, 무엇을 할 것인가",J. P. 사르트르 지음 ; 민희식 옮김,두 로,1997
제자백가의 지혜,공자 ; 묵자 ; 열자 외저 ; 정철 옮김,오 늘,1997
마음의 문을 여는 삶의 지혜,레이몬드 밴 오버 지음 ; 이석명 옮김,넥서스,1997
기술철학,돈 아이디 지음 ; 김성동 옮김,철학과 현실사,1998
심리학이란 무엇인가,오세진 ; 최창호 공저,학지사,1997
중국어 실용 한중사전,이태훈 지음,인터북스,1998
하이데거의 존재와 시간을 찾아서,F. W. 폰 헤르만 지음 ; 신상희 옮김,한길사,1997
가정의례서식백과,한국전통의례서식연구회 편,일송미디어,1998
홀로서기 자녀교육,조병묵 지음,일송미디어,1997
단체 제정론,단체 지음 ; 성 염 옮김,철학과 현실사,1997
스콜라 철학의 기본개념,요셉 드 프리스 지음 ; 신창석 옮김,분도출판사,1997
국토와 민족생활사,최영준 지음,한길사,1997
실용 풍수지리; 실화와 이론,김항배 지음,일산출판사,1997
방언 사전,김병제 지음,한국문화사,1995
우리둘이 서로보기,이관용 지음,대학출판사,1988
학습 심리학,윈프레드 F.힐 지음 ; 이영애 옮김,을유문화사,1998
만화로 보는 철학여행,리차드 오스본 지음 ; 고정식 옮김,넥서스,1995
헤겔 논리학,G.W.F. 헤겔 지음 ; 김계숙 옮김,서 문,1997
증명과 설명,김광수 지음,철학과 현실사,1997
탐구의 논리,김광수 지음,철학과 현실사,1997
플라톤 : 노예로 팔릴 뻔한 이데아의 영혼. 2,폴 스트래던 지음 ; 강철웅 옮김,펀앤런 북스,1998
창조적인 작가와 몽상,지그문트 프로이트 지음 ; 정장진 옮김,열린책들,1997
오페라를 만나러 가자. 2 : 이야기로 읽는 명작 28편,김선옥 ; 양진모 엮음,풀 빛,1997
심의(深衣),정혜경 지음,경남대출판부,1998
사회교육법규론,권두승 저,교육과학사,1998
조선시대 사상사의 재조명,지두환 지음,역사문화,1998
흙. 2,이광수 저,소담,1995
(역순겸용)진명 일본어한자읽기사전,윤현중 편저,진명,1998
여성을 위한 세상을 보는 지혜,캐럴 스페너 라 러소 編著 ; 강무환 譯,둥지,1998
과정과 실재 : 유기체적 세계관의 구상,A.N. 화이트헤드지음 ; 오영환 옮김,민음사,1997
기호학으로의 초대,안느 에노 지음 ; 홍정표 옮김,어문학사,1997
중세철학 이야기,K. 플라시 지음 ; 신창석 옮김,서광사,1998
(서울대선정)동서고전 200선. 2 : 해제,반덕진 편저,가람기획,1997
(서울대선정)동서고전 200선. 3 : 해제,반덕진 편저,가람기획,1997
(서울대선정)동서고전 200선. 4 : 해제,반덕진 편저,가람기획,1996
독일 철학과20세기 한국의 철학,백종현 지음,철학과현실사,1998
실학의 철학,한국사상연구회 편저,예문서원,1996
신의존재증명,김상렬 지음,한누리미디어,1996
라틴-한글 사전,카톨릭대학교 고전라틴어연구소 저,카톨릭대학교출판부,1995
해석학은 무엇인가,[한국해석학회] 엮음,지평문화사,1995
과학적 발견의 논리,칼포퍼 지음 ; 박우석 옮김,고려원,1994
계몽주의 철학,에른스트 카시러 지음 ; 박완규 옮김,민음사,1995
기초 작곡 입문,다라 편집부,다라,1995
국어문법,서정수 지음,뿌리깊은나무,1994
신사임당,김은희 지음,효리원,2008
한글궁체서법,박병천 [저],일지사,1994
노랑이눈을 아프게 쏘아대는 이유,에밀시오랑 지음 ; 박현철 옮김,산수야,1995
철학적 농담,로버트 E.에그너,책세상,1994
(最新)韓漢大辭典,張三植 編著,범우사,1992
해명,미셸 세르 지음 ; 박동찬 엮,솔,1994
아우구스티누스,이석우 지음,민음사,1995
자연농장활동,한국청소년개발원 편,인간과복지,1994
(문화나들이 2000)엄마아빠 일요일에 여기가요,나들이연구모임 엮음,혜인,2000
세계 대탐험 이야기,사라 해리슨 지음 ; 김지영 옮김,국민서관,2010
동일성과 차이,마르틴 하이데거 ; 신상희 옮김,민음사,2001
"1894년, 경복궁을 점령하라!",나카츠카 아키라 지음 ; 박맹수 옮김,푸른역사,2002
한국만화 인명사전,손상익 한국만화문화연구원 편,시공사,2002
천하관과근대화론,이혜경 저,문학과지성사,2002
사랑으로가르치기;유아교육에 대한 페미니스트 접근,염지숙 역,창지사,2001
경찰학강의,진동규 편저,보성,2002
벽초 홍명희 연구,강영주,창작과비평사,2002
미국 비자 절대로 거절당하지 않는 법,조셉 메릴 지음 ; 이나윤 옮김,예지,2002
(어린이를 위한)음악사전,박영수 지음,입력,1999
상사화. 1,김윤희 지음,태동,2002
"한국 능금의 역사, 그 기원과 발전",이호철 지음,문학과지성사,2002
사라져 가는 세시 풍속,이동렬 지음 ; 이서지 그림,두산동아,2001
화첩기행2 달이 뜬다 북을 울려라,김병종,효형출판,2001
9.11 위대한 기만,이리유카바 최 지음,문예춘추사,2002
그림자 새,임판 지음,청어,2002
(일터로 간)화성남자 금성여자,존 그레이 지음 ; 노진선 옮김,들녘미디어,2002
장이 : 사라져가는 토종문화를 찾아서,이용한 글 ; 심병우 사진,실천문학사,2001
(인물화로 보는)조선시대 우리옷,권오창 지음,현암사,2002
(인물화로 보는)조선시대 우리옷,권오창 지음,현암사,2002
(한 권으로 보는)권모술수,이언호 편역,큰방,2002
우주의 구멍,K. C. 콜 지음 ; 김희봉 옮김,해냄출판사,2002
공부가 싫어질때 1분간 명상하라,다산학습명상연구회 편,오리진,2002
생쥐 수프,아놀드 로벨 글.그림 ; 엄혜숙 옮김,비룡소,2008
아들과 함께 걷는 길,이순원 지음,해냄,2002
우리 나라 전설,모봉구 저,두레미디어,2002
민속의 슬기,임동권 지음,민속원,2000
농경생활의 문화읽기,배영동 지음,민속원,2001
상사화. 2,김윤희 지음,태동,2002
(세계를 지배하는)유태인의 성공법,카세 히데아키 지음 ; 박순규 옮김,인디북,2002
에밀,루소 지음 ; 권응호 옮김,홍신문화사,1996
풍경의 내부,이제하,작가정신,2002
"죽어도 나는 양반, 너는 상놈",이규태,조선일보사,2001
기업과 소비자를 위한 제조물책임법 모든 것,임영주 감수,청림출판,2002
고전소설 속 역사여행,신병주 ; 노대환 [같이]지음,돌베개,2002
레제,크리스티앙 드루에... [등]지음 ; 유재명 옮김,창해,2002
진도씻김굿,황루시 저 ; 임원순 사진,화산문화,2001
카페에서,채초희 지음,문학관,2002
(파괴를 위한 과학)무기,"리치, 제이슨 지음 ; 전대호 옮김",지호,2002
(목숨을 건 도전)비행,"벌리너, 돈 지음 ; 장석봉 옮김",지호,2002
경찰학강의,진동규 편저,보성,2002
일제강점기의 민족운동과 종교,한국민족운동사학회,국학자료원,2002
"촘스키, 9­11",노엄 촘스키 지음 ; 박행웅 ; 이종삼 옮김,김영사,2002
"촘스키, 9­11",노엄 촘스키 지음 ; 박행웅 ; 이종삼 옮김,김영사,2002
현대교육학신강,김민한 이상현 강기수 공저,세종출판사,2002
"아빠 아빠 오, 불쌍한 우리아빠",성석제,미음사,2002
제비꽃 여인숙,이정록,민음사,2002
숲 이야기,안노 미쯔마사 구성·그림,한림,2001
연탄길. 2,이철환 지음,삼진기획,2002
가면의 꿈,이청준 지음,열림원,2002
"음식, 그 상식을 뒤엎는 역사",쓰지하라 야스오 지음 ; 이정환 옮김,창해,2002
(노무현의)리더십 이야기,노무현 지음,행복한책읽기,2002
돼지책,"브라운, 앤서니",웅진닷컴,2002
생쥐 이야기,아놀드 로벨 글.그림 ; 엄혜숙 옮김,비룡소,2008
우주로 가는 항구,조재성 지음,가람기획,2003
이 고쳐 선생과 이빨투성이 괴물,롭 루이스 글.그림 ; 김영진 옮김,시공주니어,2003
한국어 문법론,목정수 [저],월인,2003
전작주의자의 꿈,조희봉 지음,함께읽는책,2003
길을 가는 메뚜기,아놀드 로벨 글.그림 ; 엄혜숙 옮김,비룡소,2008
신뢰도 : 일반화가능도중심으로,송인섭 지음,학지사,2002
대통령과 보좌관,이송호 著,傳英社,2002
"한국행정인은 누구인가? : 삶의질,인간형,행정문화,모범사례",조무성 지음,고려대학교출판부,2002
한국 천주교회의 기원,윤민구 저,국학자료원,2003
철학연구 50년,이화여자대학교 한국문화 연구원,혜안,2003
(역사가가 그린)근대의 풍경,이영석 지음,푸른역사,2003
한국의 놀이,스튜어트 컬린 [저] ; 윤광봉 역,열화당,2003
수메르신화,조철수 지음,서해문집,2003
한글궁체,鄭周相 著,梨花文化出版社,2002
김두한 자서전 2. 2,김두한 지음,메트로 신문사,2003
말하기 기본문장 90개 딱 3주만 연습해보세요,두비컨텐츠 저,중앙M&B,2002
영호남 방언 운율 비교,저자 김차균,영락,2002
성격심리학,민경환,法文社,2002
고3 혁명,손주은 지음,조선일보사,2003
이익(李翼) : 인간소외 극복의 실학자,강경원 지음,성균관대학교,2002
디지털 시대의 영화,토마스 엘새서·케이 호프만 엮음 ; 김성욱 외 옮김,한나래,2002
여성과 남성이 다르지도 똑같지도 않은 이유,캐롤 타브리스 지음 ; 히스테리아 옮김,또 하나의 문화,2003
MATLAB및 SIMULINK의 기초와 활용,정슬 저,淸文閣,2002
북한의 경제 : 기원·형성·붕괴,기무라 미쓰히코 지음 ; 정재정 감역 ; 김현숙 옮김,혜안,2002
공부법 (영여편),서울대 학습심리 연구회. 동경대 학습요율연구회,샘터,1999
"한국고전용어사전, ㄱ~ㄴ",세종대왕기념사업회 편,세종대왕기념사업회,2001
한국 고전 용어 사전. 2 : ㄷ~ ㅂ,세종대왕기념사업회 편,세종대왕기념사업회,2001
한국 고전 용어 사전. 3 : ㅅ~ ㅇ,세종대왕기념사업회 편,세종대왕기념사업회,2001
원색 한국나방도감,신유항,아카데미서적,2001
21세기 지식 키워드 100,강수택 외 68인 공동집필,한국출판마케팅연구소,2003
함북 북부지역어 연구,최명옥...[등]지음,태학사,2002
"빈곤의 역사, 복지의 역사",허구생 지음,한울아카데미,2003
예방적 방위전략,윌리엄페리. 애시튼 가터,프레스21,2000
부메랑 던지기,한인섭,프레스21,2000
경계없는 현대미술,김현아,숙명여자대학교 출판국,2002
꿈을 이루는 지혜와 용기,황우선,정곡기념재단,2002
우리는 다시 만나기 위해 태어났다,잭 캔필드,푸른숲,2000
어머니의 초상,조건상,새미,2001
일본 지식인의 사상,구견서,현대미학사,2001
무용사 연구,김정수 외,금광,2001
(초서 작품과 팬글씨를 위한)漢詩草書集成. 其2,馬琦聲 編著,友一出版社,2001
교육법과 교육기본권,신현직 지음,청년사,2003
음악음향학,이석원 지음,심설당,2003
한국의 지명,도수희 지음,아카넷,2003
다산의 논어해석 연구,김영호 지음,심산,2003
오렌지색 모자를 쓴 도시,최원현,범우사,2003
한국 민속학 개론,최운식...외 공저,민속원,2002
종소리,신경숙 지음,문학동네,2003
숨쉬는 새우깡,최재경,민음사,2002
Good work,하워드 가드너 ; 미하이 칙센트미하이 ;  윌리엄 데이먼 [같이]지음 ; 문용린 옮김,생각의나무,2003
선생님 에이즈가 뭐에요?,레옹 슈바르첸베르그,프레스21주네스,2002
한국의회 정치와 민주주의,박찬표,오름,2002
한국의 시민운동 프로크루스테스의 침대,박원순,당대,2002
따뜻한 집,박상우,샘터,1999
생태학적 상상력,김욱동,나무심는사람,2004
한용운의 님의 침묵을 읽는다,김인환,열림원,2004
千字文,歐陽詢 지음,美術文化院,1986
王羲之 隸書 千字文,王羲之 著,신우,1991
"基礎筆法講座. 1, 楷書 九成宮醴泉銘 歐陽詢",장대덕 저,우람,1998
"基礎筆法講座. 2, 楷書 顔勤禮碑 - 顔眞卿",장대덕 저,우람,1998
"어디, 뚱보 맛 좀 볼래?",모카 글 ; 아나이스 보즐라드 그림 ; 최윤정 옮김,비룡소,2003
이슬람법사상,이원삼,대우학술총서,2002
인연,피천득,샘터,2002
민족문화의 생태학적 인식,임재해,당대,2002
조선 전기의 민속,이복규,민속원,2001
달이 피네,임동권,민속원,2002
전국책. 1 : 술책편,조성기 지음,동아일보사,2003
SPPSS를 활용한 조사방법론,이쌍규 ; 이재모 ; 이선영 ; 김성애지음,삼우사,2002
시각예술과 언어철학,신방흔,생각의 나무,2001
개화독립 민주,서재필기념회 편,서재필기념회,2001
인권은 교문 앞에서 멈춘다,배경내 지음,우리교육,2000
이강석 구연설화집,이복규,민속원,1999
시조문학 교육의 통시적 연구,김선배,박이정,1998
소련의 아프간 전쟁,이웅현,고려대학교 출판부,2002
신춘문예 당선시집. 2004,권혁제 외 지음,문학세계사,2004
신화와 형이상학,조르주 귀스도르프 지음 ; 김점석 옮김,문학동네,2003
초등학교 단소지도의 이론과 실기,이동남 지음,민속원,2001
한국 현대무용사의 인물들,대담 문애령,눈빛,2001
아동의 성장과 발달이해,정정옥 ; 이경희 ; 임은숙 공저.,교육아카데미,2003
"(위대한)교육사상가들. 5 : 개혁교육학, 슈타이너, 니일, 과르디니, 마리탱, 몬테소리, 로저스, 허친스, 피터스",연세대학교 교육철학연구회 편,교육과학사,2002
서커스 서커스,최인석 지음,책세상,2002
대전100년사. 1,대전광역시사편찬위원회 편,대전광역시사편찬위원회,2002
대전100년사. 2,대전광역시사편찬위원회 편,대전광역시사편찬위원회,2002
격몽요결,이이 지음 ; 이민수 옮김,을유문화사,2003
일할 의욕을 높여주는 책,기쿠리이 미유키 지음 ; 오희옥 옮김,국일미디어,2002
휴전선의 무지개,이명희 엮음,문학과지성사,2002
대전100년사. 3,대전광역시사편찬위원회 편,대전광역시사편찬위원회,2002
21세기 新 오늘의 운세,정도명 지음.,테마북스,2003
신재효,성나미 글씀.,파랑새어린이,2003.
2002 올해의 문제소설,한국현대서설학회 엮음,푸른 사상,2002
"니체의 위험한 책, 차라투스트라는 이렇게 말했다",고병권 지음.,그린비,2003
"(위대한)교육사상가들 . 6 : 교육인간학, 슈프랑거, 베니거, 아도르노, 볼르노, 야스퍼스, 하이데거, 하버마스, 프레이리",연세대학교 교육철학연구회 편,교육과학사,2002
사랑하는 사람과 반드시 맺어지는 78가지 방법,우에니시 아키라 지음 ; 홍성빈 옮김,책다움,2001
독일 연극사 : 근세부터 현대까지,이원양 지음,두레,2002
시각장애인의 진로교육과 재활,이완우,유연기획,2003
"호텔, 외식 관광 마케팅",정규엽,연경문화사,2001
그녀는 조용히 살고있다,이해경 지음,문학동네,2002
아인슈타인의 최대 실수,도널드 골드스미스 ; 박범수 옮김,동문선,2003
오륙도의 식물,강완수 ; 남정칠 [공저],세종출판사,2002
(현대물리학과) 페르미,댄 쿠퍼 지음 ; 승영조 옮김,바다 출판사,2002
난독증의 이해,매리온 샌더스 저 ; 신민섭 역,학지사,2003
율곡의 사회개혁사상,이동인 지음,백산서당,2002
딸이 있는 풍경,최순희 저,그림같은 세상,2003
"제주, 그리고 오름",이생진 저 ; 임현자 그림,책이있는마을,2002
현대 일본의 정치과정연구,고바야시 요시아키 지음 소순창 라일경 옮김,한올아카데미,2001
소비에 중독된 아이들,안드레아 브라운 지음 ; 배인섭 옮김,미래의 창,2002
김두한 자서전 1. 1,김두한 지음,메트로 신문사,2003
새야 녹두새야,안도섭 저,푸른사상,2002
한국전쟁과 중국,박두복 편저,백산서당,2001
물의 정거장,전경린 지음,문학동네,2003
장화홍련전,김별아 글 ; 권문희 그림,창작과비평사,2003
(청소년)토지. 4,박경리 원작 ; 토지문학연구회 엮음,이룸,2003
(청소년)토지. 5,박경리 원작 ; 토지문학연구회 엮음,이룸,2003
(청소년)토지. 6,박경리 원작 ; 토지문학연구회 엮음,이룸,2003
(청소년)토지. 7,박경리 원작 ; 토지문학연구회 엮음,이룸,2003
(청소년)토지. 8,박경리 원작 ; 토지문학연구회 엮음,이룸,2003
(청소년)토지. 9,박경리 원작 ; 토지문학연구회 엮음,이룸,2003
불연속선,염상섭,프레스21,1997
당신들의 감동은 위험하다,이환 저,새움,2001
생명의 노래2,우한용,푸른사상,2001
